TOUS MOIS : écoulements mensuels mesurés (1913 - 1988)

LA GARONNE AU MAS-D'AGENAIS

code station;producteur;bassin versant;e-mail
O9060010;DREAL Midi-Pyrénées;52000 km²;hydrometrie.dreal-midi-pyrenees@developpement-durable.gouv.fr


Tableau des valeurs mensuelles et annuelles - Q (m3/s)    - QMAX = 1536,02

V;Annee;Jan;V;Fev;V;Mar;V;Avr;V;Mai;V;Jui;V;Jui;V;Aou;V;Sep;V;Oct;V;Nov;V;Dec;V;Moy/Total
 #;1913;-;;-;;-;;1398,67;;1657,74;;617,67;;225,00;;181,29;;223,00;;460,16;;942,67;;592,58;;-
 #;1914;411,61;;754,64;;2022,58;;1426,67;;781,61;;796,00;;491,94;;603,55;;355,67;;350,97;;796,00;;841,94;;802,71
 #;1915;2359,68;;1847,50;;1038,71;;1224,67;;1296,77;;1130,67;;418,71;;232,77;;167,83;;355,81;;966,33;;839,35;;984,14
 #;1916;512,58;;1600,34;;1447,42;;1228,67;;761,94;;428,33;;474,84;;242,90;;270,83;;285,32;;586,33;;1331,61;;761,17
 #;1917;781,29;;754,64;;1191,29;;947,00;;1270,32;;801,33;;429,68;;238,06;;212,33;;279,03;;716,00;;658,39;;689,64
 #;1918;791,94;;324,64;;351,61;;1360,33;;1781,94;;559,33;;312,26;;165,65;;162,17;;305,48;;440,17;;1278,06;;655,74
 #;1919;1477,74;;1756,07;;1544,84;;1344,33;;880,32;;558,00;;364,84;;193,87;;193,17;;350,97;;776,33;;1230,97;;884,04
 #;1920;1440,00;;610,00;;1069,03;;883,67;;548,39;;310,67;;326,94;;166,94;;254,17;;961,29;;886,00;;873,87;;695,92
 #;1921;561,29;;842,50;;391,94;;518,67;;959,35;;562,00;;215,48;;301,45;;216,00;;144,35;;166,83;;326,94;;431,29
 #;1922;533,87;;1188,21;;722,90;;2453,33;;1526,13;;796,67;;310,65;;166,45;;249,17;;219,35;;565,00;;288,87;;745,23
 #;1923;698,06;;1306,79;;1628,06;;1641,33;;739,35;;448,00;;293,39;;146,13;;159,83;;146,94;;437,50;;1690,32;;774,79
 #;1924;1691,61;;624,48;;549,03;;846,33;;576,13;;342,33;;194,84;;211,94;;167,67;;225,00;;345,67;;367,42;;512,20
 #;1925;215,97;;331,96;;468,06;;1118,67;;859,35;;499,33;;307,74;;172,42;;142,17;;151,45;;390,83;;371,61;;418,55
 #;1926;894,84;;1144,29;;402,58;;1111,33;;1589,03;;765,67;;320,00;;155,32;;177,17;;158,55;;600,00;;396,45;;638,59
 #;1927;697,74;;423,93;;2210,00;;1082,00;;740,32;;453,33;;359,52;;247,90;;435,17;;294,84;;469,33;;1100,32;;712,97
